"Dataset","BB","class","time"
"mnist","rf","0","224.25"
"mnist","rf","1","436.36"
"mnist","rf","2","237.47"
"mnist","rf","3","320.32"
"mnist","rf","4","308.75"
"mnist","rf","5","598.01"
"mnist","rf","6","121.07"
"mnist","rf","7","480.83"
"mnist","rf","8","104.51"
"mnist","rf","9","178.86"
"mnist","dnn","0","120.26"
"mnist","dnn","1","92.74"
"mnist","dnn","2","197.63"
"mnist","dnn","3","584.03"
"mnist","dnn","4","187.66"
"mnist","dnn","5","249.66"
"mnist","dnn","6","215.04"
"mnist","dnn","7","161.05"
"mnist","dnn","8","259.18"
"mnist","dnn","9","233.44"
"fashion","rf","0","256.43"
"fashion","rf","1","412.91"
"fashion","rf","2","589.23"
"fashion","rf","3","164.89"
"fashion","rf","4","165.68"
"fashion","rf","5","102.56"
"fashion","rf","6","467.91"
"fashion","rf","7","479.02"
"fashion","rf","8","340.98"
"fashion","rf","9","367.89"
"fashion","dnn","0","90.07"
"fashion","dnn","1","212.31"
"fashion","dnn","2","86.73"
"fashion","dnn","3","157.68"
"fashion","dnn","4","472.11"
"fashion","dnn","5","460.7"
"fashion","dnn","6","394.66"
"fashion","dnn","7","599.02"
"fashion","dnn","8","191.78"
"fashion","dnn","9","152.67"
"emnist","rf","0","370.25"
"emnist","rf","1","420.67"
"emnist","rf","2","212.67"
"emnist","rf","3","117.95"
"emnist","rf","4","670.44"
"emnist","rf","5","231.44"
"emnist","rf","6","321.96"
"emnist","rf","7","170.45"
"emnist","rf","8","111.56"
"emnist","rf","9","148.92"
"emnist","rf","10","165.56"
"emnist","rf","11","386.97"
"emnist","rf","12","106.45"
"emnist","rf","13","332.03"
"emnist","rf","14","109.67"
"emnist","rf","15","432.89"
"emnist","rf","16","376.34"
"emnist","rf","17","545.87"
"emnist","rf","18","521.02"
"emnist","rf","19","424.59"
"emnist","rf","20","653.45"
"emnist","rf","21","732.04"
"emnist","rf","22","147.01"
"emnist","rf","23","108.45"
"emnist","rf","24","466.95"
"emnist","rf","25","386.91"
"emnist","dnn","0","369.84"
"emnist","dnn","1","299.79"
"emnist","dnn","2","386.25"
"emnist","dnn","3","482.53"
"emnist","dnn","4","289.24"
"emnist","dnn","5","299.65"
"emnist","dnn","6","488.71"
"emnist","dnn","7","399.42"
"emnist","dnn","8","263.36"
"emnist","dnn","9","374.68"
"emnist","dnn","10","264.02"
"emnist","dnn","11","263.77"
"emnist","dnn","12","341.62"
"emnist","dnn","13","104.54"
"emnist","dnn","14","125.26"
"emnist","dnn","15","253.15"
"emnist","dnn","16","203.59"
"emnist","dnn","17","349.57"
"emnist","dnn","18","215.12"
"emnist","dnn","19","159.65"
"emnist","dnn","20","476.22"
"emnist","dnn","21","290.16"
"emnist","dnn","22","322.43"
"emnist","dnn","23","158.28"
"emnist","dnn","24","255.12"
"emnist","dnn","25","327.21"
