Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,DNN,5,3200,140.38,0,1,1
emnist,DNN,5,3201,306.77,0,0,error
emnist,DNN,5,3202,117.45,0,3,3
emnist,DNN,5,3203,9.73,0,1,1
emnist,DNN,5,3204,130.31,5,0,2
emnist,DNN,5,3205,93.53,0,1,1
emnist,DNN,5,3206,313.32,0,0,error
emnist,DNN,5,3207,148.61,0,2,2
emnist,DNN,5,3208,232.66,0,2,2
emnist,DNN,5,3209,42.6,0,3,3
emnist,DNN,5,3210,23.25,0,2,2
emnist,DNN,5,3211,74.53,1,3,3
emnist,DNN,5,3212,238.42,0,2,2
emnist,DNN,5,3213,323.63,0,0,error
emnist,DNN,5,3214,43.0,0,2,2
emnist,DNN,5,3215,239.62,0,2,2
emnist,DNN,5,3216,316.71,0,0,error
emnist,DNN,5,3217,73.18,2,2,2
emnist,DNN,5,3218,19.09,1,5,5
emnist,DNN,5,3219,27.81,0,2,2
emnist,DNN,5,3220,313.32,0,0,error
emnist,DNN,5,3221,77.29,2,2,2
emnist,DNN,5,3222,316.74,0,0,error
emnist,DNN,5,3223,294.69,0,0,0
emnist,DNN,5,3224,18.21,0,2,2
emnist,DNN,5,3225,194.1,0,2,2
emnist,DNN,5,3226,19.62,5,1,5
emnist,DNN,5,3227,200.64,0,1,1
emnist,DNN,5,3228,9.99,1,3,3
emnist,DNN,5,3229,316.19,0,0,error
emnist,DNN,5,3230,59.17,0,2,2
emnist,DNN,5,3231,14.5,0,2,2
emnist,DNN,5,3232,26.54,0,1,2
emnist,DNN,5,3233,316.81,0,0,error
emnist,DNN,5,3234,14.83,0,1,1
emnist,DNN,5,3235,49.23,0,0,0
emnist,DNN,5,3236,74.09,1,1,1
emnist,DNN,5,3237,280.45,0,2,2
emnist,DNN,5,3238,315.11,0,0,error
emnist,DNN,5,3239,69.86,0,1,1
emnist,DNN,5,3240,43.56,0,2,2
emnist,DNN,5,3241,31.78,0,2,2
emnist,DNN,5,3242,13.74,0,1,2
emnist,DNN,5,3243,53.17,0,1,1
emnist,DNN,5,3244,50.52,0,1,1
emnist,DNN,5,3245,317.16,0,0,error
emnist,DNN,5,3246,316.14,0,0,error
emnist,DNN,5,3247,315.83,0,0,error
emnist,DNN,5,3248,55.83,0,1,1
emnist,DNN,5,3249,10.4,0,1,1
