Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
emnist,RF,4,2400,47.1,1,1,1
emnist,RF,4,2401,9.06,5,3,4
emnist,RF,4,2402,310.39,0,0,error
emnist,RF,4,2403,310.16,0,0,error
emnist,RF,4,2404,307.96,0,0,error
emnist,RF,4,2405,10.14,0,2,2
emnist,RF,4,2406,26.34,0,3,4
emnist,RF,4,2407,310.96,0,0,error
emnist,RF,4,2408,309.45,0,0,error
emnist,RF,4,2409,10.39,5,1,1
emnist,RF,4,2410,14.07,4,0,0
emnist,RF,4,2411,84.21,0,0,0
emnist,RF,4,2412,9.31,4,0,0
emnist,RF,4,2413,310.48,0,0,error
emnist,RF,4,2414,10.23,5,0,0
emnist,RF,4,2415,15.22,4,0,0
emnist,RF,4,2416,26.34,5,0,1
emnist,RF,4,2417,310.48,0,0,error
emnist,RF,4,2418,118.42,0,0,0
emnist,RF,4,2419,8.74,5,1,4
emnist,RF,4,2420,28.84,3,0,0
emnist,RF,4,2421,309.46,0,0,error
emnist,RF,4,2422,27.27,0,4,4
emnist,RF,4,2423,310.21,0,0,error
emnist,RF,4,2424,105.96,0,1,1
emnist,RF,4,2425,16.26,3,0,0
emnist,RF,4,2426,45.26,1,0,1
emnist,RF,4,2427,8.76,5,3,4
emnist,RF,4,2428,310.07,0,0,error
emnist,RF,4,2429,9.51,3,1,4
emnist,RF,4,2430,308.98,0,0,error
emnist,RF,4,2431,137.26,0,1,1
emnist,RF,4,2432,17.18,5,0,2
emnist,RF,4,2433,39.18,3,0,0
emnist,RF,4,2434,14.52,5,3,4
emnist,RF,4,2435,11.86,5,1,1
emnist,RF,4,2436,10.6,5,0,0
emnist,RF,4,2437,20.27,0,0,0
emnist,RF,4,2438,312.71,0,0,error
emnist,RF,4,2439,309.94,0,0,error
emnist,RF,4,2440,308.96,0,0,error
emnist,RF,4,2441,8.61,0,0,0
emnist,RF,4,2442,16.64,0,3,4
emnist,RF,4,2443,37.95,2,0,0
emnist,RF,4,2444,11.96,5,1,1
emnist,RF,4,2445,311.25,0,0,error
emnist,RF,4,2446,311.74,0,0,error
emnist,RF,4,2447,17.32,0,5,5
emnist,RF,4,2448,12.65,0,5,5
emnist,RF,4,2449,310.58,0,0,error
