Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,DNN,0,19,9.32,5,0,0
fashion,DNN,0,27,9.68,5,0,2
fashion,DNN,0,35,8.67,5,0,1
fashion,DNN,0,59,8.13,5,1,1
fashion,DNN,0,71,9.57,5,2,3
fashion,DNN,0,85,8.95,5,1,1
fashion,DNN,0,88,8.95,5,0,1
fashion,DNN,0,96,11.3,5,1,1
fashion,DNN,0,113,9.12,5,0,0
fashion,DNN,0,120,14.62,5,0,0
fashion,DNN,0,121,7.73,5,1,1
fashion,DNN,0,125,8.69,5,0,0
fashion,DNN,0,141,12.1,5,0,0
fashion,DNN,0,142,7.18,5,0,0
fashion,DNN,0,143,8.32,5,0,0
fashion,DNN,0,155,9.18,5,0,0
fashion,DNN,0,164,9.38,5,3,3
fashion,DNN,0,170,10.08,5,0,3
fashion,DNN,0,177,8.06,5,0,0
fashion,DNN,0,180,8.04,5,0,1
fashion,DNN,0,201,8.47,5,1,1
fashion,DNN,0,206,10.11,5,1,2
fashion,DNN,0,223,9.07,5,0,0
fashion,DNN,0,229,10.05,5,0,1
fashion,DNN,0,235,8.48,5,0,0
fashion,DNN,0,260,8.56,5,1,1
fashion,DNN,0,263,9.55,5,1,1
fashion,DNN,0,264,9.57,5,2,2
fashion,DNN,0,272,8.16,5,0,0
fashion,DNN,0,275,9.47,5,0,0
fashion,DNN,0,280,8.22,5,0,0
fashion,DNN,0,284,9.34,2,0,1
fashion,DNN,0,304,10.0,5,2,2
fashion,DNN,0,305,10.6,5,2,2
fashion,DNN,0,332,9.58,5,1,1
fashion,DNN,0,341,8.51,5,0,0
fashion,DNN,0,355,11.91,5,0,1
fashion,DNN,0,359,9.13,5,0,2
fashion,DNN,0,370,15.29,5,1,2
fashion,DNN,0,374,10.15,5,3,3
fashion,DNN,0,381,19.27,0,1,3
fashion,DNN,0,395,10.17,5,2,2
fashion,DNN,0,400,8.98,5,2,3
fashion,DNN,0,403,16.51,5,1,3
fashion,DNN,0,410,9.62,5,0,0
fashion,DNN,0,440,9.09,5,0,1
fashion,DNN,0,452,8.6,5,2,2
fashion,DNN,0,454,8.79,5,0,0
fashion,DNN,0,458,11.03,5,0,0
fashion,DNN,0,463,8.18,5,1,1
