Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
fashion,RF,3,13,10.15,5,0,0
fashion,RF,3,29,9.56,5,3,3
fashion,RF,3,32,9.79,5,0,0
fashion,RF,3,33,10.08,5,0,0
fashion,RF,3,42,17.78,2,3,4
fashion,RF,3,67,11.46,5,2,2
fashion,RF,3,75,14.61,5,3,3
fashion,RF,3,86,14.3,5,0,1
fashion,RF,3,91,10.43,5,1,2
fashion,RF,3,100,9.86,5,1,1
fashion,RF,3,124,22.84,5,0,2
fashion,RF,3,159,16.32,5,1,2
fashion,RF,3,162,8.94,5,0,0
fashion,RF,3,176,13.46,5,1,1
fashion,RF,3,182,9.29,5,3,3
fashion,RF,3,194,8.89,5,0,0
fashion,RF,3,197,26.4,5,0,3
fashion,RF,3,215,11.35,5,1,1
fashion,RF,3,259,8.88,5,0,0
fashion,RF,3,266,10.06,5,1,3
fashion,RF,3,271,15.75,5,2,3
fashion,RF,3,274,16.0,5,0,1
fashion,RF,3,277,8.93,5,1,1
fashion,RF,3,283,9.48,5,1,1
fashion,RF,3,300,10.53,5,0,0
fashion,RF,3,301,11.25,5,1,1
fashion,RF,3,311,9.98,5,0,0
fashion,RF,3,329,11.25,5,0,0
fashion,RF,3,330,11.33,5,1,1
fashion,RF,3,335,17.34,5,0,2
fashion,RF,3,339,9.02,5,0,0
fashion,RF,3,342,9.88,5,2,2
fashion,RF,3,353,26.56,5,0,3
fashion,RF,3,366,8.53,5,0,0
fashion,RF,3,376,9.61,5,0,0
fashion,RF,3,383,8.78,5,0,0
fashion,RF,3,421,8.46,5,1,2
fashion,RF,3,439,9.77,5,0,0
fashion,RF,3,446,9.67,5,0,0
fashion,RF,3,450,15.96,5,1,2
fashion,RF,3,451,15.13,5,0,2
fashion,RF,3,460,294.13,0,0,error
fashion,RF,3,465,9.56,5,1,1
fashion,RF,3,466,9.93,5,0,0
fashion,RF,3,482,14.99,5,0,1
fashion,RF,3,490,21.92,5,3,6
fashion,RF,3,522,28.75,5,1,4
fashion,RF,3,536,9.19,5,2,3
fashion,RF,3,539,9.36,5,0,0
fashion,RF,3,557,8.8,5,0,0
