Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,7,0,16.19,5,0,1
mnist,DNN,7,17,8.72,5,1,1
mnist,DNN,7,26,15.05,5,1,6
mnist,DNN,7,34,9.93,5,1,1
mnist,DNN,7,36,8.32,5,0,0
mnist,DNN,7,41,9.75,5,0,0
mnist,DNN,7,60,10.1,5,0,0
mnist,DNN,7,64,8.37,5,0,0
mnist,DNN,7,70,9.3,5,1,1
mnist,DNN,7,75,50.17,5,1,3
mnist,DNN,7,79,291.75,0,0,error
mnist,DNN,7,80,18.45,5,4,5
mnist,DNN,7,83,19.03,5,4,6
mnist,DNN,7,86,8.76,5,1,1
mnist,DNN,7,97,18.44,5,0,0
mnist,DNN,7,111,9.41,5,0,0
mnist,DNN,7,114,8.74,5,1,1
mnist,DNN,7,122,9.55,5,2,2
mnist,DNN,7,124,28.24,5,3,3
mnist,DNN,7,133,10.83,5,2,2
mnist,DNN,7,141,13.28,5,0,1
mnist,DNN,7,144,8.0,5,0,0
mnist,DNN,7,171,9.15,5,0,0
mnist,DNN,7,175,14.95,5,2,3
mnist,DNN,7,220,15.1,5,1,4
mnist,DNN,7,223,8.83,5,1,1
mnist,DNN,7,229,9.54,5,1,1
mnist,DNN,7,234,9.97,5,1,2
mnist,DNN,7,243,9.16,5,2,2
mnist,DNN,7,254,13.65,5,1,2
mnist,DNN,7,255,8.47,5,0,1
mnist,DNN,7,262,20.41,5,2,4
mnist,DNN,7,263,9.23,5,0,1
mnist,DNN,7,282,10.22,5,0,0
mnist,DNN,7,301,11.35,5,1,1
mnist,DNN,7,307,15.65,5,0,1
mnist,DNN,7,328,8.67,5,2,2
mnist,DNN,7,337,9.16,5,2,3
mnist,DNN,7,358,15.43,5,3,4
mnist,DNN,7,370,15.37,5,0,1
mnist,DNN,7,383,8.84,5,2,2
mnist,DNN,7,410,20.57,5,2,4
mnist,DNN,7,411,9.91,5,3,4
mnist,DNN,7,413,9.34,5,2,2
mnist,DNN,7,415,9.12,5,1,1
mnist,DNN,7,438,8.68,5,1,1
mnist,DNN,7,468,9.18,5,2,2
mnist,DNN,7,482,8.05,5,1,1
mnist,DNN,7,494,8.96,5,0,0
mnist,DNN,7,510,8.15,5,0,0
