Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,8,61,16.28,5,3,7
mnist,RF,8,84,8.62,5,4,4
mnist,RF,8,110,16.53,5,1,2
mnist,RF,8,128,8.4,5,0,1
mnist,RF,8,134,21.68,5,2,6
mnist,RF,8,146,9.34,5,0,0
mnist,RF,8,177,9.71,5,1,1
mnist,RF,8,179,8.51,5,0,0
mnist,RF,8,181,8.33,5,0,0
mnist,RF,8,184,8.35,5,0,0
mnist,RF,8,226,8.44,5,0,0
mnist,RF,8,232,8.99,5,0,0
mnist,RF,8,233,9.43,5,4,4
mnist,RF,8,242,13.39,5,1,2
mnist,RF,8,257,14.04,5,1,1
mnist,RF,8,260,8.36,5,1,2
mnist,RF,8,266,15.96,5,1,2
mnist,RF,8,268,15.37,5,9,9
mnist,RF,8,277,8.72,5,0,0
mnist,RF,8,290,294.5,0,0,error
mnist,RF,8,299,14.99,5,1,2
mnist,RF,8,338,10.38,5,2,2
mnist,RF,8,344,8.74,5,1,1
mnist,RF,8,355,8.38,5,0,0
mnist,RF,8,373,10.05,5,2,2
mnist,RF,8,374,8.51,5,1,1
mnist,RF,8,391,9.7,5,2,2
mnist,RF,8,401,7.93,5,0,0
mnist,RF,8,403,17.22,2,3,4
mnist,RF,8,429,8.38,5,4,4
mnist,RF,8,431,7.95,5,1,1
mnist,RF,8,435,8.55,5,0,0
mnist,RF,8,436,8.28,5,0,0
mnist,RF,8,458,7.99,5,2,2
mnist,RF,8,465,7.89,5,0,0
mnist,RF,8,466,19.81,5,1,3
mnist,RF,8,470,7.56,5,0,0
mnist,RF,8,474,8.8,5,0,0
mnist,RF,8,486,8.39,5,2,2
mnist,RF,8,495,292.77,0,0,error
mnist,RF,8,520,9.44,5,0,0
mnist,RF,8,527,23.39,5,0,0
mnist,RF,8,538,8.99,5,0,1
mnist,RF,8,542,8.26,5,3,3
mnist,RF,8,543,11.71,0,3,3
mnist,RF,8,553,16.76,0,2,2
mnist,RF,8,563,8.8,5,0,0
mnist,RF,8,572,8.76,5,1,1
mnist,RF,8,580,21.51,5,0,3
mnist,RF,8,582,15.46,5,4,5
