Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,DNN,5,8,27.67,0,0,error
mnist,DNN,5,15,14.9,5,7,8
mnist,DNN,5,23,13.67,5,6,7
mnist,DNN,5,45,14.95,5,3,6
mnist,DNN,5,52,8.57,5,6,7
mnist,DNN,5,53,16.25,5,7,8
mnist,DNN,5,59,27.86,0,0,error
mnist,DNN,5,102,18.17,5,3,5
mnist,DNN,5,120,33.58,5,5,9
mnist,DNN,5,127,7.63,5,1,1
mnist,DNN,5,129,14.07,5,6,7
mnist,DNN,5,132,18.46,5,3,5
mnist,DNN,5,152,9.94,5,5,6
mnist,DNN,5,153,15.67,5,4,5
mnist,DNN,5,155,8.37,5,3,3
mnist,DNN,5,162,8.79,5,1,1
mnist,DNN,5,165,21.53,5,6,8
mnist,DNN,5,167,8.75,5,6,8
mnist,DNN,5,182,7.8,5,2,2
mnist,DNN,5,187,9.41,5,4,4
mnist,DNN,5,207,19.43,5,7,8
mnist,DNN,5,211,8.09,5,3,3
mnist,DNN,5,218,9.86,5,3,4
mnist,DNN,5,219,6.72,5,1,1
mnist,DNN,5,240,16.18,5,4,5
mnist,DNN,5,253,12.86,5,4,4
mnist,DNN,5,261,8.76,5,6,7
mnist,DNN,5,283,8.55,5,3,3
mnist,DNN,5,289,27.01,0,0,error
mnist,DNN,5,317,27.34,0,0,error
mnist,DNN,5,319,15.46,5,6,8
mnist,DNN,5,333,7.52,5,2,2
mnist,DNN,5,340,9.01,5,5,6
mnist,DNN,5,347,15.18,5,6,7
mnist,DNN,5,351,18.5,5,3,5
mnist,DNN,5,352,27.15,0,0,error
mnist,DNN,5,356,13.9,5,6,7
mnist,DNN,5,364,13.75,5,4,5
mnist,DNN,5,367,18.86,5,7,8
mnist,DNN,5,375,8.1,5,1,1
mnist,DNN,5,395,13.21,5,3,4
mnist,DNN,5,397,7.85,5,4,4
mnist,DNN,5,406,21.67,5,6,9
mnist,DNN,5,412,26.61,0,0,error
mnist,DNN,5,433,8.13,5,2,3
mnist,DNN,5,460,26.34,0,0,error
mnist,DNN,5,469,18.42,5,3,5
mnist,DNN,5,478,8.18,5,4,4
mnist,DNN,5,483,26.64,0,0,error
mnist,DNN,5,491,13.37,5,3,4
