Dataset,Algo,Class,id,Time,factuals / 5,cfact,crules
mnist,RF,2,1,8.83,5,1,1
mnist,RF,2,35,9.31,5,1,1
mnist,RF,2,38,29.66,0,0,error
mnist,RF,2,43,9.64,5,2,2
mnist,RF,2,47,9.96,5,0,0
mnist,RF,2,72,8.57,5,0,0
mnist,RF,2,77,26.13,0,0,error
mnist,RF,2,82,9.17,5,2,2
mnist,RF,2,106,8.5,5,1,1
mnist,RF,2,119,29.35,0,0,error
mnist,RF,2,147,8.27,5,0,0
mnist,RF,2,149,29.54,0,0,error
mnist,RF,2,172,8.1,5,2,2
mnist,RF,2,174,9.72,5,2,2
mnist,RF,2,186,16.03,5,1,4
mnist,RF,2,199,8.68,5,1,1
mnist,RF,2,208,9.16,5,2,2
mnist,RF,2,221,8.32,5,2,3
mnist,RF,2,222,29.5,0,0,error
mnist,RF,2,225,8.09,5,1,1
mnist,RF,2,236,8.52,5,4,4
mnist,RF,2,237,8.79,5,2,2
mnist,RF,2,244,17.83,5,1,1
mnist,RF,2,249,15.06,5,1,2
mnist,RF,2,256,15.59,5,1,3
mnist,RF,2,258,9.5,5,1,3
mnist,RF,2,278,8.17,5,0,0
mnist,RF,2,280,15.18,5,2,3
mnist,RF,2,285,8.17,5,1,1
mnist,RF,2,291,9.89,5,2,3
mnist,RF,2,293,10.43,5,2,2
mnist,RF,2,298,8.41,5,0,0
mnist,RF,2,303,26.78,0,0,error
mnist,RF,2,306,14.68,5,1,2
mnist,RF,2,318,18.23,5,2,3
mnist,RF,2,321,29.46,0,0,error
mnist,RF,2,326,10.79,5,2,2
mnist,RF,2,331,8.88,5,3,4
mnist,RF,2,362,12.62,0,5,5
mnist,RF,2,363,8.43,5,1,1
mnist,RF,2,371,9.31,5,2,2
mnist,RF,2,387,9.43,5,3,3
mnist,RF,2,390,10.55,5,0,0
mnist,RF,2,396,11.0,5,2,2
mnist,RF,2,400,9.78,5,1,1
mnist,RF,2,404,8.86,5,1,1
mnist,RF,2,418,9.42,5,0,0
mnist,RF,2,421,7.44,5,1,1
mnist,RF,2,423,8.0,5,1,1
mnist,RF,2,444,29.73,0,0,error
